Time,SUM(gradic_anomali_temperatura_down),SUM(gradic_anomali_temperatura_up)
1961,-0.282505072,
1962,-1.220546798,
1963,-1.340546736,
1964,-0.917154749,
1965,-1.417191562,
1966,-0.904066755,
1967,-0.750825168,
1968,-1.052785392,
1969,-1.309417543,
1970,-1.069379757,
1971,-1.024117219,
1972,-1.191599843,
1973,-0.98279027,
1974,-1.09022411,
1975,-0.93288458,
1976,-1.420446128,
1977,-0.856069298,
1978,-1.530944506,
1979,-1.100245177,
1980,-1.663274789,
1981,-1.18830493,
1982,-0.533700357,
1983,-0.745394192,
1984,-1.462643649,
1985,-0.806229906,
1986,-0.817757473,
1987,-0.751831592,
1988,-0.38218409,
1989,-0.556159453,
1990,-0.209123557,
1991,-1.087854841,
1992,-0.344846752,
1993,-0.549343142,
1994,0.308775194
1995,-0.865072196,
1996,-0.969315889,
1997,-0.090270483,
1998,-0.249306507,
1999,-0.11562008,
2000,0.289198668
2001,0.14112236
2002,0.07128909
2003,0.403949959
2004,-0.288068598,
2005,-0.670448139,
2006,0.021118125
2007,0.2781218
2008,0.113731358
2009,0.135244634
2010,-0.621109481,
2011,0.300433713
2012,0.307364315
2013,-0.088401934,
2014,0.540220135
2015,0.593383642
2016,0.369705733
2017,0.321129718
2018,0.64795522
2019,0.581651977
2020,0.553158098
2021,0.225154019
2022,1.22793939952505
